,name,address,lat,lng
68,丁香夏朵花园(徐汇店),上海市徐汇区复兴西路268号,31.217729,121.444165
69,いば昇(中山公园店),中山公园玫瑰坊2楼(长宁路890号),31.22555,121.424371
70,鱼你说酸菜鱼米饭(龙之梦店),长宁路1018号B2美食汇(B2007D)鱼你说酸菜鱼米饭,31.225342,121.423283
71,万岛(静安店),上海市静安区乌鲁木齐北路480号万泰国际5楼,31.224461,121.449859
72,RAC BAR,上海市徐汇区安福路322号14幢一楼(武康路与安福路交口),31.219615,121.446383
73,北海道料理(兆丰广场店),上海市长宁区长宁路1027号999兆丰广场B1,31.224011,121.42551
74,LOKAL(武康路店),徐汇区武康路202号,31.215794,121.446948
75,袁记饺子(宣化路店),宣化路88号(鲜丰水果隔壁),31.223941,121.435032
76,绝味鸭脖(定西路店),上海市长宁区定西路1242号,31.22093,121.429368
77,大鼓米线(龙之梦购物广场店),上海市长宁区长宁路1018号龙之梦购物中心B2层,31.225415,121.423408
78,夏舍茶事燕语(中山公园店),上海市长宁区愚园路1361号,31.225021,121.429894
79,老天母卤味专家(龙之梦大厦店),上海市长宁区长宁路1018号龙之梦购物中心B2,31.224772,121.423348
80,你是我的酸辣粉(龙之梦店),长宁路1018号龙之梦购物中心B2层,31.225239,121.423153
81,上海1898cafe咖啡,上海市长宁区愚园路1265号,31.225091,121.431654
82,上海巴黎春天新世界酒店大堂吧,长宁区定西路1555号巴黎春天新世界酒店1楼(近愚园路),31.224706,121.427664
83,鲍师傅糕点(江苏路店),上海市长宁区江苏路458号舜元企业发展大厦B幢503商铺,31.225076,121.437327
84,星巴克(中山公园店),上海市长宁路999号1F,31.224191,121.424251
85,MR PANCAKE House(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊M,31.225767,121.424491
86,咖乃芗(舜元天地店),上海市长宁区江苏路458号舜元·弘基天地F2,31.224849,121.437343
87,丸是切茶私友茶室,长宁区安西路340号南门1楼(近宣化路),31.223951,121.43172
88,COSTA COFFEE(长宁新世界店),上海市长宁区宣化路300号华宁·弘基生活中心F1,31.223468,121.428734
89,三月咖啡馆,上海市长宁区万航渡路1384,31.231776,121.42832
90,1点点(宣化店),宣化路70号,31.224007,121.435406
91,我慢生活馆,愚园路1077号,31.224942,121.435266
