lat,lng,time
31.286367,121.509956,1434766210
31.286369,121.510056,1434766210
31.286381,121.510162,1434766210
31.286394,121.510277,1434766210
31.286396,121.510414,1434766210
31.286413,121.510574,1434766210
31.28643,121.510696,1434766210
31.286453,121.510826,1434766210
31.286493,121.510963,1434766210
31.286526,121.511093,1434766210
31.286566,121.511253,1434766210
31.286606,121.511398,1434766210
31.286646,121.511536,1434766210
31.286686,121.511703,1434766210
31.286716,121.511864,1434766210
31.286747,121.512039,1434766210
31.286779,121.512199,1434766210
31.286814,121.512375,1434766210
31.286854,121.51255,1434766210
31.2869,121.512718,1434766210
31.286936,121.512878,1434766210
31.286974,121.513054,1434766210
31.287014,121.513199,1434766210
31.28705,121.513359,1434766210
31.287094,121.513504,1434766210
31.287134,121.513664,1434766210
31.287174,121.513824,1434766210
31.287216,121.513985,1434766210
31.287247,121.51413,1434766210
31.287313,121.514412,1434766210
31.287357,121.514549,1434766210
31.287386,121.514679,1434766210
31.287439,121.514977,1434766210
31.287466,121.515137,1434766210
31.287497,121.515297,1434766210
31.287533,121.515442,1434766210
31.28756,121.515572,1434766210
31.28758,121.515747,1434766210
31.287613,121.515923,1434766210
31.287647,121.516068,1434766210
31.28768,121.516212,1434766210
31.287703,121.516373,1434766210
31.287741,121.51651,1434766210
31.28776,121.51664,1434766210
31.287783,121.516731,1434766210
31.287781,121.5168,1434766210
31.287773,121.516876,1434766210
31.287754,121.51696,1434766210
31.287687,121.517067,1434766210
31.287653,121.517189,1434766210
31.287607,121.517319,1434766210
31.287586,121.51741,1434766210
31.28756,121.517494,1434766210
31.287533,121.51757,1434766210
31.287519,121.517654,1434766210
31.287474,121.517723,1434766210
31.287399,121.517761,1434766210
31.287306,121.517815,1434766210
31.287207,121.517868,1434766210
31.287107,121.517921,1434766210
31.287001,121.517975,1434766210
31.286882,121.518013,1434766210
31.28676,121.518082,1434766210
31.286627,121.51812,1434766210
31.286503,121.518158,1434766210
31.286369,121.518227,1434766210
31.28623,121.518295,1434766210
31.2861,121.518356,1434766210
31.285959,121.51841,1434766210
31.28582,121.518478,1434766210
31.285681,121.518547,1434766210
31.28553,121.5186,1434766210
31.285393,121.518669,1434766210
31.285259,121.518707,1434766210
31.285139,121.518776,1434766210
31.285027,121.518814,1434766210
31.284903,121.518852,1434766210
31.284771,121.518906,1434766210
31.284647,121.518959,1434766210
31.284523,121.519043,1434766210
31.284397,121.519096,1434766210
31.28426,121.51915,1434766210
31.284121,121.519241,1434766210
31.283974,121.51931,1434766210
31.28384,121.519348,1434766210
31.283699,121.519417,1434766210
31.283573,121.519478,1434766210
31.283453,121.519531,1434766210
31.283333,121.519615,1434766210
31.283211,121.519676,1434766210
31.283079,121.519745,1434766210
31.282953,121.519814,1434766210
31.282827,121.51989,1434766210
31.282707,121.519958,1434766210
31.282579,121.519997,1434766210
31.28244,121.520065,1434766210
31.282314,121.520134,1434766210
31.282183,121.520172,1434766210
31.282053,121.520241,1434766210
31.281937,121.520294,1434766210
31.281826,121.520348,1434766210
31.281719,121.520401,1434766210
31.281603,121.520454,1434766210
31.281347,121.520576,1434766210
31.281223,121.52063,1434766210
31.281099,121.520683,1434766210
31.280973,121.520737,1434766210
31.28084,121.52079,1434766210
31.280703,121.520844,1434766210
31.28056,121.520905,1434766210
31.28042,121.520973,1434766210
31.28027,121.521057,1434766210
31.280121,121.521118,1434766210
31.279966,121.521202,1434766210
31.279818,121.521294,1434766210
31.279673,121.521362,1434766210
31.279526,121.521469,1434766210
31.279383,121.521561,1434766210
31.27924,121.521683,1434766210
31.279093,121.521797,1434766210
31.278946,121.52195,1434766210
31.278812,121.522079,1434766210
31.27869,121.522202,1434766210
31.278561,121.522346,1434766210
31.278431,121.522507,1434766210
31.278313,121.522667,1434766210
31.2782,121.522812,1434766210
31.278084,121.522949,1434766210
31.277964,121.523094,1434766210
31.27784,121.523239,1434766210
31.277719,121.523376,1434766210
31.277599,121.523521,1434766210
31.277479,121.523666,1434766210
31.277367,121.523811,1434766210
31.277243,121.523956,1434766210
31.277126,121.524094,1434766210
31.277014,121.524239,1434766210
31.276899,121.524384,1434766210
31.276787,121.524536,1434766210
31.276674,121.524666,1434766210
31.27656,121.524811,1434766210
31.276443,121.524963,1434766210
31.276329,121.525093,1434766210
31.276213,121.525253,1434766210
31.2761,121.525383,1434766210
31.27598,121.525505,1434766210
31.275867,121.52565,1434766210
31.275753,121.525803,1434766210
31.275627,121.525917,1434766210
31.27549,121.526039,1434766210
31.27536,121.526161,1434766210
31.275227,121.526268,1434766210
31.275093,121.52639,1434766210
31.27496,121.526505,1434766210
31.274824,121.526627,1434766210
