,name,address,lat,lng
71,一间森林青年旅舍(静安寺地铁站店),上海市静安区北京西路1213号,31.235395,121.458532
72,上海学长家青年求职公寓,上海市武夷路418弄1号楼武定大厦,31.219063,121.428791
73,易佰连锁旅店(兰溪路店),上海市普陀区兰溪路148号,31.245947,121.411333
74,艾尚快捷旅店(娄山关路店),上海市长宁区娄山关路858号3楼(地铁2号线娄山关路站1号口出步行5分钟),31.220471,121.411348
75,华亭宾馆,上海市徐汇区漕溪北路1200号,31.188423,121.442225
76,莫泰酒店(大渡河路地铁站店),上海市普陀区大渡河路1122号,31.240579,121.402158
77,魔方公寓(交通大学店),上海市徐汇区番禺路888号-3层,31.202107,121.434245
78,如家·neo(中山西路店),上海市徐汇区中山西路1520号,31.195742,121.427144
79,汉庭酒店(澳门路店),上海市普陀区澳门路503号,31.252048,121.446268
80,云雅精选酒店,上海市普陀区中山北路3159号,31.243148,121.420255
81,易佰酒店(岚皋路地铁站店),上海市普陀区石泉路220号,31.256008,121.429708
82,沪汉宾馆,上海市长宁区天山路1898号,31.21471,121.420996
83,和颐至尊酒店(南京西路地铁站店),上海市静安区新闸路1136号石油天然气大厦3层,31.239344,121.460632
84,迪凯精选酒店,上海市长宁区安顺路144号,31.207877,121.424932
85,海友酒店(上海普陀中心医院店),上海市普陀区梅岭北路480号,31.248398,121.410903
86,7天酒店(江宁路地铁站玉佛寺店),上海市静安区安远路139号,31.247921,121.45305
87,好望角大饭店,上海市徐汇区肇嘉浜路500号,31.2076,121.460562
88,如家(宜山路店),上海市徐汇区宜山路250弄12号,31.19549,121.435509
89,上海F1精品酒店(西康路店),上海市静安区康定路468号,31.240077,121.454343
90,上海澳门轻奢酒店(陕西北路店),上海市普陀区陕西北路1622号3层,31.251544,121.446321
91,艾森主题酒店(上海胶州路店),上海市普陀区胶州路947号,31.243902,121.443011
92,速登精品酒店(天山店),娄山关路888号虹桥假日广场,31.22114,121.41156
93,m家社区酒店(金沙江路店),上海市普陀区金沙江路730号,31.23802,121.405778
94,锦江青松城大酒店,上海市徐汇区东安路8号,31.204778,121.455706
95,鼎珍商旅酒店,上海市枣阳路279号,31.239717,121.408581
96,莱卡优品酒店(长寿路店),上海市普陀区叶家宅路71-3号3楼,31.243958,121.437444
97,上海陕西商务酒店,上海市静安区延安中路658号,31.230513,121.468129
98,阔悦酒店,上海市普陀区澳门路351号燕兴大厦3楼,31.252912,121.448563
99,上海曼福楼精选酒店(上海南京西路店),上海市静安区陕西北路739号,31.240704,121.456313
100,尼航主题酒店(长寿路地铁站亚新广场店),上海市普陀区长寿路393号,31.246171,121.443801
101,逸风商务酒店,上海市普陀区大渡河路646号(近金沙江路),31.234709,121.40234
102,乐宜时尚宾馆(徐家汇交大店),乐山路115号4楼(近交通大学、胸科医院),31.201061,121.437398
103,上海鼎珍主题酒店(东新店),上海市普陀区东新支路110弄1号(靠近东新路派出所),31.249639,121.432006
104,浦江之星(水城路店),上海市长宁区水城路372号二楼,31.212394,121.397617
105,酷客至尚酒店(南京西路店),上海市静安区大沽路529号,31.231256,121.470582
106,海友酒店(宋园路店),上海市徐汇区宋园路128弄18号,31.196654,121.421281
107,上海徐汇瑞峰酒店,上海市徐汇区肇嘉浜路7号(瑞金南路附近),31.20965,121.472395
108,如家商旅酒店(古北店),上海市闵行区伊犁南路26号,31.195861,121.410696
109,优堡宾馆(虹桥路地铁站店),上海市长宁区凯旋路1169号(安顺路路口轻轨西面往北50米),31.208337,121.425088
110,海友酒店(上海嘉善路地铁站二店),上海市徐汇区肇嘉浜路249号,31.20897,121.468965
111,上海宝隆居家酒店(徐汇店),上海市徐汇区肇嘉浜路沿线东安路177号,31.201297,121.458824
112,升源宾馆(梅岭北路店),上海市普陀区梅岭北路408-3号,31.248581,121.412065
113,沁怡宾馆(怒江路店),上海市普陀区怒江路204-1号2层,31.235691,121.405918
114,泽选精品酒店,上海普陀区中山北路2170号,31.252995,121.436062
115,久方假日旅馆,上海市普陀区长寿路522号(近胶州路),31.246412,121.442685
